GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,Website,6,27,0,0,2,8,1,4,1,4
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,HTMLDocumentBuilder,145,385,4,30,38,89,6,29,2,16
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,Anchor.LinkType,34,0,0,0,4,0,1,0,1,0
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,Locality,0,34,0,0,0,4,0,1,0,1
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,Image,0,6,0,0,0,3,0,1,0,1
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,ReportManager,25,84,0,0,8,22,1,6,1,6
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,AudioAnalysis,119,0,7,0,32,0,9,0,5,0
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,LinkExtraction,30,0,4,0,11,0,4,0,2,0
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,HTMLDocument,0,66,0,0,0,24,0,10,0,10
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,Script,0,6,0,0,0,3,0,1,0,1
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,JSONReportWriter,20,239,0,6,6,48,2,11,2,8
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,WebsiteAnalysisDriver,4,0,0,0,2,0,2,0,2,0
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,ReportWriter,15,3,2,0,6,1,3,1,2,1
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,Resource,0,53,0,0,0,22,0,11,0,11
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,Stylesheet,0,6,0,0,0,3,0,1,0,1
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,SimpleHTMLParser,0,107,0,4,0,25,0,8,0,6
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,Anchor,6,54,2,2,2,18,4,5,2,5
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,WebsiteBuilder,10,323,4,30,3,87,4,32,0,19
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,errorMessages,15,4,0,0,7,2,4,1,4,1
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,AudioAnalysis.AudioInfo,51,0,0,0,13,0,5,0,5,0
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,ResourceBuilder,0,15,0,0,0,5,0,2,0,2
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,CLIOutput.new FilenameFilter() {...},7,0,0,0,2,0,2,0,2,0
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,ExcelGenerator,198,0,6,0,29,0,5,0,2,0
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,ResourceKind,0,84,0,0,0,9,0,1,0,1
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,CLIOutput,120,16,6,0,21,7,8,3,5,3
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,CreateTextFile,47,0,0,0,12,0,2,0,2,0
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,CLIOutput.new FilenameFilter() {...},7,0,0,0,2,0,2,0,2,0
semester-project-website-analysis-thursday-4,edu.odu.cs.cs350,CLIOutput.new FilenameFilter() {...},7,0,0,0,2,0,2,0,2,0
